Ticker,Empresa,Precio,% vs max 2a,% vs EMA20,RSI(14),Señal
MELI,Mercado Libre,1879.78,-28.1,8.7,77.8,Vigilar (caída moderada desde máximo)
MSFT,Microsoft,383.61,-28.8,-0.6,52.1,Vigilar (caída moderada desde máximo)
AMD,AMD,557.86,-4.0,6.0,53.4,Sin señal clara
BABA,Alibaba,112.42,-40.1,5.8,57.9,Vigilar (caída moderada desde máximo)
AAPL,Apple,314.37,-0.6,4.1,61.1,Sin señal clara
META,Meta,664.38,-15.6,11.1,68.1,Vigilar (caída moderada desde máximo)
NVDA,Nvidia,210.46,-10.7,3.8,49.8,Sin señal clara
AMZN,Amazon,244.98,-10.9,0.7,50.6,Sin señal clara
GOOGL,Alphabet,354.74,-11.8,-1.4,41.2,Sin señal clara
TSLA,Tesla,408.39,-16.6,1.1,52.2,Vigilar (caída moderada desde máximo)
GGAL,Grupo Galicia,53.01,-22.6,4.3,42.4,Vigilar (caída moderada desde máximo)
SPY,S&P 500 (ETF),754.09,-0.5,1.3,56.1,Sin señal clara
QQQ,"Nasdaq 100 (ETF, 'TripleQ')",725.52,-2.7,0.8,44.8,Sin señal clara
